,A,B,C,D,E,F,G,H,I,J,K,L,M,N,P,Q,R,S
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,5.205670294393771e-05,0.43618693501443856,0.0005385801233523093,0.002529806442217383,0.000180256863685035,0.0009643502460864797,0.00023791958002233432,0.006850227640294654,5.5606436230249984e-05,9.469712823233415e-06,2.7515563007339507e-05,3.403218606282951e-07,0.00028825844017228475,0.00029664396249885164,4.160294309759218e-06,5.757373863029813e-06,3.32479205708132e-05,4.101596064716519e-05
C,0.6200239207013493,0.3089358658989994,0.3898119640555273,0.39053927287476076,0.40040421444156804,0.699067383649857,0.4056910394865284,0.5679460251724693,0.3248204539615784,0.23569548070396412,0.3513314427183357,0.038178373887002404,0.22569407811923908,0.5958633385985699,0.1961982802502467,0.42194612017872224,0.18835819219283048,0.3231983826339744
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.1473002528892705,0.09536343459279185,0.0999819780746113,0.44151693265945463,0.09119079227414377,0.05921175512727661,0.23081824510863952,0.2435152945858969,0.4686001545544399,0.11944629956096833,0.11825207688729561,0.9065715523264343,0.06997141057817416,0.05008780860059443,0.4720732701108579,0.29936849891373807,0.3816881241307438,0.3455394374908838
G,0.17581154595714255,0.08886195407466975,0.09089637067659356,0.08496707325823843,0.12716526260804686,0.13191903625515616,0.12153613168631007,0.09713237338328476,0.11871903644105516,0.08318542885768077,0.09367942002165791,0.015752870924312525,0.07336802434520939,0.14261762013320517,0.07376628842037913,0.13864455490463848,0.09265887545815535,0.10088351225607181
H,0.016105598446232643,0.007372650257393858,0.010120945294423287,0.007326150419388787,0.011134943238482136,0.015520339155714193,0.015494027133838063,0.011103816141633365,0.017536239664681923,0.0036876283952795943,0.009684307709803018,0.0014564530122766052,0.005834716896595583,0.01443954330415766,0.006796346259265583,0.007053818464244939,0.010054944170544769,0.011275817987798994
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,0.002208561037817373,0.011875524121246853,0.03335910428990234,0.022032410190689185,0.0884496936432028,0.024175249012003835,0.0552593395709365,0.027243888661983705,0.017348582541978984,0.28138632883511033,0.08910054998609178,0.002582573084143356,0.07167259692891267,0.04633102811291481,0.029873282266995586,0.03258229798059914,0.2770909349634437,0.037452728413493716
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002131105104030118,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023247867334268993,0.0,0.0,0.0,0.0,0.0,0.0
M,0.038498064265243624,0.051403636040459645,0.3752910574855899,0.05108835415525074,0.2814748369308712,0.06914188655390557,0.17096329743372513,0.046208374414437516,0.05291992640003546,0.2633119159431658,0.3379246871138086,0.010078864005671114,0.5525477461952455,0.15036401728805923,0.2212883723979452,0.10039895218419397,0.03466202949527441,0.1816091052571302
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013277447991007666,0.0,0.0,0.0006231684964512406,0.0,0.0,0.0,0.015453651668436676,0.0
S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
